#,CAS Number,SMILES
217,Invalid CAS number: 0-03-5,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC
218,102-77-2,C1CN(CCO1)Sc1nc2ccccc2s1
219,Invalid CAS number: 0-03-1,C(CCOC[C@H]1CO1)COC[C@H]1CO1
220,28540-82-1,CC(C)CC1NC(=O)C(C)N(C)C(=O)CNC(=O)/C(=C/c2ccccc2)N(C)C1=O
221,106532-68-7,CCCCCC(=O)\N=C1/SN(C(=O)CCCCC)c2ccc(cc12)[N+]([O-])=O
222,3771-19-5,CC(C)(Oc1ccc(cc1)C1CCCc2ccccc12)C(O)=O
223,6217-22-7,O=C1C(=O)c2cccc3ccc4cccc1c4c32
224,6309-46-2,CC(=O)Oc1ccc(CO)cc1
225,828-00-2,CC1CC(OC(C)O1)OC(C)=O
226,42522-72-5,Oc1c(Br)cc2c(Oc3c(Br)c(O)c(Br)cc3C32OS(=O)(=O)c2ccccc23)c1Br
227,58329-89-8,Cc1ccc(cc1)N=Nc1ccc(cc1)N(CCO)CCO
228,128669-18-1,[Cl-].Cn1cc[n+](CCOCC#C)c1\C=N\O
229,535-80-8,OC(=O)c1cccc(Cl)c1
230,52214-84-3,CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O
231,59283-76-0,Cc1c(NO)cc(cc1[N+]([O-])=O)[N+]([O-])=O
232,23103-98-2,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
233,63642-50-2,O=C1CCCc2c1ccc1c2ccc2ccccc21
234,Invalid CAS number: 0-12-1,O[C@H]1C=Cc2c(ccc3c4cccc5cccc(c54)c23)[C@@H]1O
235,312304-87-3,CC(=O)OCN(CCCCl)N=O
236,171866-15-2,C[C@@H]1O[C@@H](O[C@@H]2C[C@@](O)(CO)Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)[C@@H](I)[C@@H](O)[C@@H]1O
237,873-75-6,OCc1ccc(Br)cc1
238,67019-24-3,CC(C)CC(=O)Nc1snc2ccccc12
239,70-00-8,OC[C@H]1O[C@@H](C[C@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
240,2592-95-2,On1nnc2ccccc21
241,376595-42-5,CCOC(=O)SCc1ccco1
242,95-93-2,Cc1cc(C)c(C)cc1C
243,76-12-0,FC(Cl)(Cl)C(F)(Cl)Cl
244,67028-40-4,CCOC(=O)COc1ccc(C)cc1
245,78-44-4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
246,74339-99-4,Oc1ccc2c(c1)c1cc3ccccc3c3cc4ccccc4c2c31
247,27093-62-5,Cn1c2ccc3ccccc3c2c2c3ccccc3ccc21
248,24519-27-5,N#CC1SCCSC=1C#N
249,7704-40-7,Nc1ccc2nc3ccc(N)cc3nc2c1
250,115453-72-0,NC(CSC(Cl)=C(Cl)C(Cl)(Cl)Cl)C(O)=O
251,Invalid CAS number: 6-01-4,CCN(CCCl)CCOCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12
252,6926-47-2,[N-]=[N+]=NC(c1ccccc1)c1ccccc1
253,69658-13-5,OC(=O)CSc1ccc2-c3ccccc3C(=O)c3cccc1c32
254,17241-59-7,OCc1ccc2C(=O)c3ccccc3C(=O)c2c1
255,Invalid CAS number: 0-14-0,O1[C@@H]2[C@@H]1c1c3ccccc3cc3c4ccccc4cc2c31
256,2520-60-7,CC(C)=CCC1CCCC1=O
